notice,url,stack,company,information.Position,information.Employment Type,information.Experiences,information.Company Size,information.Principal Services,information.Period,information.Work Location,information.Salary
프론트엔드 엔지니어 (전문연구요원 가능),https://programmers.co.kr/job_positions/3946,"['CSS3', 'HTML5', 'JavaScript']",버즈니,프론트엔드,Full-time,5 ~ 10years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",
프론트엔드 엔지니어 (전문연구요원 가능),https://programmers.co.kr/job_positions/5927,"['HTML', 'ReactJS', 'CSS3', 'HTML5', 'JavaScript', 'REST API', 'TypeScript']",버즈니,"프론트엔드, 웹 풀스택, 시스템 소프트웨어",Full-time,5 ~ 10years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
AI 백엔드 엔지니어 (마케팅 분야),https://programmers.co.kr/job_positions/5924,"['Docker', 'Linux', 'AWS Cloud9', 'GCP(Google Cloud Platform)', 'Python']",버즈니,"머신러닝, 인공지능(AI), 데이터 엔지니어",Full-time,2 ~ 10years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
[AI Lab] AI 백엔드 엔지니어 (전문연구요원 가능),https://programmers.co.kr/job_positions/1826,[],버즈니,"서버/백엔드, 머신러닝, 인공지능(AI)",Full-time,All Backgrounds Welcome,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
AI/Lab 추천 시스템 리서치 엔지니어,https://programmers.co.kr/job_positions/5659,"['Pandas', 'Node.js', 'MySQL', 'MongoDB', 'GCP(Google Cloud Platform)', 'PyTorch', 'Docker', 'Python']",버즈니,"머신러닝, 인공지능(AI), 데이터 엔지니어",Full-time,All Backgrounds Welcome,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
백엔드 엔지니어 (전문연구요원 가능),https://programmers.co.kr/job_positions/5926,"['Elasticsearch', 'Flask', 'Docker', 'Python']",버즈니,"서버/백엔드, 웹 풀스택, 데이터 엔지니어",Full-time,1 ~ 10years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
"IOS 엔지니어 (Swift, RxSwift)",https://programmers.co.kr/job_positions/7423,"['REST API', 'Objective-C', 'Android', 'Swift', 'iOS', 'RxSwift']",버즈니,"안드로이드 앱, 아이폰 앱, 모바일 게임",Full-time,3 ~ 11years,80,홈쇼핑모아,Without deadline,"서울특별시 관악구 남부순환로 1832, 3층, 10층, 11층, 12층, 14층(봉천동, 오선빌딩)",5000 ~ 10000 만원
스마트팩토리 시스템 개발자,https://programmers.co.kr/job_positions/5934,"['Oracle', 'MySQL', 'Spring Boot', 'HTML5', 'jQuery', 'JavaScript', 'Spring']",동화기업,"서버/백엔드, 시스템 소프트웨어",Full-time,2 ~ 3years,501-1000,,Without deadline,"서울 영등포구 여의나루로 53-2, (여의도동)",
Sr. Backend Developer (Fintech),https://programmers.co.kr/job_positions/2604,"['Java', 'Python']",딜리버리히어로 코리아 (Delivery Hero Korea),"서버/백엔드, 응용 프로그램",Full-time,10 ~ 20years,1022,,Without deadline,"서울특별시 서초구 서초대로38길 12, 17층(서초동)",
Backend Developer (Python 또는 Java),https://programmers.co.kr/job_positions/775,"['Java', 'Python', 'Django', 'REST API']",딜리버리히어로 코리아 (Delivery Hero Korea),"서버/백엔드, 응용 프로그램",Full-time,5 ~ 20years,1022,,Without deadline,"서울특별시 서초구 서초대로38길 12, 17층(서초동)",
